# PL_MODULE / STREAM_SWITCH/MISC
# 4 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

Stream_Switch_Event_Port_Selection_0 @ 0x000003FF00 [32 rw] "Select Stream Switch Ports for event generation"
  29      Port_3_Master_Slave          rw  "Select master or slave for port 3 event generation, 1=master"
  28:24   Port_3_ID                    rw  "Select port ID for port 3 event generation"
  21      Port_2_Master_Slave          rw  "Select master or slave for port 2 event generation, 1=master"
  20:16   Port_2_ID                    rw  "Select port ID for port 2 event generation"
  13      Port_1_Master_Slave          rw  "Select master or slave for port 1 event generation, 1=master"
  12:8    Port_1_ID                    rw  "Select port ID for port 1 event generation"
  5       Port_0_Master_Slave          rw  "Select master or slave for port 0 event generation, 1=master"
  4:0     Port_0_ID                    rw  "Select port ID for port 0 event generation"

Stream_Switch_Event_Port_Selection_1 @ 0x000003FF04 [32 rw] "Select Stream Switch Ports for event generation"
  29      Port_7_Master_Slave          rw  "Select master or slave for port 7 event generation, 1=master"
  28:24   Port_7_ID                    rw  "Select port ID for port 7 event generation"
  21      Port_6_Master_Slave          rw  "Select master or slave for port 6 event generation, 1=master"
  20:16   Port_6_ID                    rw  "Select port ID for port 6 event generation"
  13      Port_5_Master_Slave          rw  "Select master or slave for port 5 event generation, 1=master"
  12:8    Port_5_ID                    rw  "Select port ID for port 5 event generation"
  5       Port_4_Master_Slave          rw  "Select master or slave for port 4 event generation, 1=master"
  4:0     Port_4_ID                    rw  "Select port ID for port 4 event generation"

Stream_Switch_Parity_Status @ 0x000003FF10 [32 wtc] "Status bits for Parity errors on stream switch ports (error on lower OR upper 32-bit word)"
  7       uController                  wtc  "Latching status bit for parity error on port"
  6       Tile_Control                 wtc  "Latching status bit for parity error on port"
  5       South_5                      wtc  "Latching status bit for parity error on port"
  4       South_4                      wtc  "Latching status bit for parity error on port"
  3       South_3                      wtc  "Latching status bit for parity error on port"
  2       South_2                      wtc  "Latching status bit for parity error on port"
  1       South_1                      wtc  "Latching status bit for parity error on port"
  0       South_0                      wtc  "Latching status bit for parity error on port"

Stream_Switch_Parity_Injection @ 0x000003FF20 [32 rw] "Injection of Parity errors on stream switch ports (privileged)"
  26      uController_upper            rw  "Enable parity error injection on upper 32-bit word"
  25      Shim_trace_upper             rw  "Enable parity error injection on upper 32-bit word"
  24      Tile_Control_upper           rw  "Enable parity error injection on upper 32-bit word"
  23      South_7_upper                rw  "Enable parity error injection on upper 32-bit word"
  22      South_6_upper                rw  "Enable parity error injection on upper 32-bit word"
  21      South_5_upper                rw  "Enable parity error injection on upper 32-bit word"
  20      South_4_upper                rw  "Enable parity error injection on upper 32-bit word"
  19      South_3_upper                rw  "Enable parity error injection on upper 32-bit word"
  18      South_2_upper                rw  "Enable parity error injection on upper 32-bit word"
  17      South_1_upper                rw  "Enable parity error injection on upper 32-bit word"
  16      South_0_upper                rw  "Enable parity error injection on upper 32-bit word"
  10      uController_lower            rw  "Enable parity error injection on lower 32-bit word"
  9       Shim_trace_lower             rw  "Enable parity error injection on lower 32-bit word"
  8       Tile_Control_lower           rw  "Enable parity error injection on lower 32-bit word"
  7       South_7_lower                rw  "Enable parity error injection on lower 32-bit word"
  6       South_6_lower                rw  "Enable parity error injection on lower 32-bit word"
  5       South_5_lower                rw  "Enable parity error injection on lower 32-bit word"
  4       South_4_lower                rw  "Enable parity error injection on lower 32-bit word"
  3       South_3_lower                rw  "Enable parity error injection on lower 32-bit word"
  2       South_2_lower                rw  "Enable parity error injection on lower 32-bit word"
  1       South_1_lower                rw  "Enable parity error injection on lower 32-bit word"
  0       South_0_lower                rw  "Enable parity error injection on lower 32-bit word"
